;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;ethanol;R410a
cycle_closer:out1_compressor:in1;0.026585188168728246;kg / s;0.0009189939220151407;m3 / s;7.968837109272621;bar;429.99999999999994;kJ / kg;281.03828144312814;K;8.038281443128142;K;0.034567892323445704;m3 / kg;-1.0;-;1841.8109458466515;J / kgK;nan;1.0
compressor:out1_condenser:in1;0.026585188168728246;kg / s;0.0002966931851520383;m3 / s;28.0;bar;472.8810205428963;kJ / kg;351.93588588333597;K;32.767858797352574;K;0.011160093480212187;m3 / kg;-1.0;-;1860.2204374964927;J / kgK;nan;1.0
condenser:out1_expansionValve:in1;0.026585188168728246;kg / s;5.272254687675884e-05;m3 / s;27.44;bar;295.1504748716813;kJ / kg;318.32383550084234;K;0.01519688420842158;K;0.001983154926049219;m3 / kg;0.12847675523338248;-;1310.6649938061787;J / kgK;nan;1.0
expansionValve:out1_evaporator:in2;0.026585188168728246;kg / s;0.00037558518811961597;m3 / s;8.168837109272621;bar;295.1504748716813;kJ / kg;273.8231634664227;K;0.044089184873712384;K;0.014127610673127044;m3 / kg;0.42689055840141144;-;1347.3956605067135;J / kgK;nan;1.0
evaporator:out2_superheater:in2;0.026585188168728246;kg / s;0.0008708434431283975;m3 / s;7.968837109272621;bar;421.3736071003548;kJ / kg;273.1028441042369;K;0.10284410423690815;K;0.03275671541617138;m3 / kg;1.0;-;1810.6692524750465;J / kgK;nan;1.0
superheater:out2_cycle_closer:in1;0.026585188168728246;kg / s;0.0009189939220151416;m3 / s;7.968837109272621;bar;430.0;kJ / kg;281.0382814431283;K;8.038281443128312;K;0.03456789232344574;m3 / kg;-1.0;-;1841.8109458466515;J / kgK;nan;1.0
tank_out_c:out1_condenser:in2;0.6;kg / s;0.0007477669140871073;m3 / s;2.0;bar;-190.12255705324748;kJ / kg;277.9999999999266;K;-91.85835865553219;K;0.0012462781901451789;m3 / kg;-1.0;-;-604.2072621886941;J / kgK;1.0;nan
condenser:out2_tank_in_c:in1;0.6;kg / s;0.0007504847642406593;m3 / s;1.96;bar;-182.2475570532475;kJ / kg;281.42552244424365;K;-87.85716117580506;K;0.0012508079404010988;m3 / kg;-1.0;-;-576.0354622554356;J / kgK;1.0;nan
tank_out_h:out1_superheater:in1;0.6;kg / s;0.0007517373995702901;m3 / s;2.0;bar;-178.59606887499817;kJ / kg;282.9999999998809;K;-86.85835865557789;K;0.0012528956659504835;m3 / kg;-1.0;-;-563.1144225009263;J / kgK;1.0;nan
superheater:out1_evaporator:in1;0.6;kg / s;0.0007516102207647967;m3 / s;1.96;bar;-178.97829267242224;kJ / kg;282.8368862902186;K;-86.4457973298301;K;0.0012526837012746613;m3 / kg;-1.0;-;-564.4477135943546;J / kgK;1.0;nan
evaporator:out1_tank_in_h:in1;0.6;kg / s;0.0007496887463111851;m3 / s;1.9208;bar;-184.57106887499813;kJ / kg;280.42034372824975;K;-88.28877002919586;K;0.0012494812438519753;m3 / kg;-1.0;-;-584.2890129969451;J / kgK;1.0;nan
