;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;R410a;ethanol
cycle_closer:out1_compressor:in1;0.024322630134840914;kg / s;0.0008385490100354823;m3 / s;7.6927741157394145;bar;423.46819555593476;kJ / kg;274.19999999999976;K;2.299999999999784;K;0.034476082783263806;m3 / kg;-1.0;-;1821.7139538312888;J / kgK;1.0;nan
compressor:out1_condenser:in1;0.024322630134840914;kg / s;0.00024268588240266726;m3 / s;30.001819051383716;bar;466.63786899087836;kJ / kg;349.54999999999995;K;27.414253768367757;K;0.009977781229137396;m3 / kg;-1.0;-;1836.3942492015826;J / kgK;1.0;nan
condenser:out1_expansionValve:in1;0.024322630134840914;kg / s;4.954634109591478e-05;m3 / s;28.501728098814528;bar;299.87958760789627;kJ / kg;319.94356468508107;K;0.016730139733112992;K;0.0020370470142923483;m3 / kg;0.14256044347739663;-;1324.813918022397;J / kgK;1.0;nan
expansionValve:out1_evaporator:in2;0.024322630134840914;kg / s;0.00037583565406577277;m3 / s;7.892774115739415;bar;299.87958760789627;kJ / kg;272.74634758056345;K;0.04651797819752801;K;0.01545209757259794;m3 / kg;0.45305555856827545;-;1366.1903222743435;J / kgK;1.0;nan
evaporator:out2_superheater:in2;0.024322630134840914;kg / s;0.0008256307372229059;m3 / s;7.6927741157394145;bar;421.03557881088295;kJ / kg;272.0022281395382;K;0.10222813953822651;K;0.03394496124168054;m3 / kg;1.0;-;1812.8063821026817;J / kgK;1.0;nan
superheater:out2_cycle_closer:in1;0.024322630134840914;kg / s;0.0008385490100354823;m3 / s;7.6927741157394145;bar;423.46819555593476;kJ / kg;274.19999999999976;K;2.299999999999784;K;0.034476082783263806;m3 / kg;-1.0;-;1821.7139538312888;J / kgK;1.0;nan
tank_out_ww:out1_condenser:in2;0.273;kg / s;0.0003552482546003835;m3 / s;2.0;bar;-94.32638107963236;kJ / kg;317.34999999999576;K;-52.50835865546304;K;0.0013012756578768625;m3 / kg;-1.0;-;-282.37102181539336;J / kgK;nan;1.0
condenser:out2_tank_in_ww:in1;0.273;kg / s;0.0003576080411960903;m3 / s;1.96;bar;-79.4692382224895;kJ / kg;323.0190005776387;K;-46.26368304241004;K;0.0013099195648208434;m3 / kg;-1.0;-;-235.95302755991634;J / kgK;nan;1.0
tank_out_wq:out1_superheater:in1;0.375;kg / s;0.00046728035338632133;m3 / s;2.0;bar;-190.46575249205327;kJ / kg;277.84999999992596;K;-92.00835865553285;K;0.0012460809423635235;m3 / kg;-1.0;-;-605.4421113042359;J / kgK;nan;1.0
superheater:out1_evaporator:in1;0.375;kg / s;0.0004672662827418484;m3 / s;1.7;bar;-190.62353285831918;kJ / kg;277.7925711029893;K;-87.49375267040193;K;0.0012460434206449291;m3 / kg;-1.0;-;-605.8754780301208;J / kgK;nan;1.0
evaporator:out1_tank_in_wq:in1;0.375;kg / s;0.00046558739275979653;m3 / s;1.445;bar;-198.48175249205326;kJ / kg;274.3495802091907;K;-86.49535200141048;K;0.0012415663806927908;m3 / kg;-1.0;-;-634.2251486869983;J / kgK;nan;1.0
